Model units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Enemy units:
Name: Commander Farsight, Army Type: Tau
Name: Breacher Team, Army Type: Tau
Number of Lifetimes ran: 400

Iteration 0 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 1263 ended with reward tensor([-0.5000]), enemy health [7.0, 5.0], model health [0, 8.0]
Iteration 1264 ended with reward tensor([0.7000]), enemy health [6.0, 5.0], model health [0, 8.0]
Iteration 1265 ended with reward tensor([-0.5000]), enemy health [6.0, 5.0], model health [0, 8.0]
Iteration 1266 ended with reward tensor([-0.5000]), enemy health [6.0, 5.0], model health [0, 8.0]
Iteration 1267 ended with reward tensor([-0.5000]), enemy health [6.0, 5.0], model health [0, 5.0]
Iteration 1268 ended with reward tensor([0.7000]), enemy health [4.0, 5.0], model health [0, 5.0]
Iteration 1269 ended with reward tensor([0]), enemy health [4.0, 5.0], model health [0, 2.0]
Iteration 1270 ended with reward tensor([-0.5000]), enemy health [4.0, 5.0], model health [0, 2.0]
Iteration 1271 ended with reward tensor([-0.5000]), enemy health [4.0, 5.0], model health [0, 2.0]
Iteration 1272 ended with reward tensor([-1.]), enemy health [4.0, 5.0], model health [0, 0]
enemy won!
Iteration 1273 ended with reward tensor([0.4000]), enemy health [1.0, 9], model health [8, 9.0]
Iteration 1274 ended with reward tensor([0.4000]), enemy health [0, 9], model health [8.0, 6.0]
Iteration 1275 ended with reward tensor([-1.]), enemy health [0, 9], model health [8.0, 5.0]
Iteration 1276 ended with reward tensor([-2.]), enemy health [0, 9], model health [6.0, 5.0]
Iteration 1277 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0, 5.0]
Iteration 1278 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 5.0]
Iteration 1279 ended with reward tensor([0]), enemy health [0, 9], model health [0.0, 1.0]
Iteration 1280 ended with reward tensor([-1.]), enemy health [0, 9], model health [0.0, 0.0]
enemy won!
Iteration 1281 ended with reward tensor([0]), enemy health [8, 9], model health [5.0, 9]
Iteration 1282 ended with reward tensor([0.4000]), enemy health [5.0, 9], model health [1.0, 9]
Iteration 1283 ended with reward tensor([-0.5000]), enemy health [5.0, 9], model health [0.0, 9]
Iteration 1284 ended with reward tensor([-0.5000]), enemy health [5.0, 9], model health [0.0, 6.0]
Iteration 1285 ended with reward tensor([-0.5000]), enemy health [5.0, 9], model health [0.0, 6.0]
Iteration 1286 ended with reward tensor([0]), enemy health [5.0, 9], model health [0.0, 3.0]
Iteration 1287 ended with reward tensor([-1.]), enemy health [5.0, 9], model health [0.0, 0]
enemy won!
Iteration 1288 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1289 ended with reward tensor([0.4000]), enemy health [5.0, 9], model health [5.0, 9]
Iteration 1290 ended with reward tensor([-0.5000]), enemy health [5.0, 9], model health [0, 9]
Iteration 1291 ended with reward tensor([-0.5000]), enemy health [5.0, 9], model health [0, 9]
Iteration 1292 ended with reward tensor([0.2000]), enemy health [3.0, 9], model health [0, 8.0]
Iteration 1293 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0, 8.0]
Iteration 1294 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0, 8.0]
Iteration 1295 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 8.0]
Iteration 1296 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 5.0]
Iteration 1297 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 5.0]
Iteration 1298 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 2.0]
Iteration 1299 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 2.0]
Iteration 1300 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 2.0]
Iteration 1301 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 2.0]
Iteration 1302 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1303 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1304 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1305 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1306 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1307 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1308 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1309 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 1.0]
Iteration 1310 ended with reward tensor([-1.]), enemy health [3.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 1311 ended with reward tensor([0.4000]), enemy health [3.0, 9], model health [8.0, 9]
Iteration 1312 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [5.0, 9]
Iteration 1313 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0, 9]
Iteration 1314 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0, 9]
Iteration 1315 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0, 9]
Iteration 1316 ended with reward tensor([0.7000]), enemy health [2.0, 5.0], model health [0, 6.0]
Iteration 1317 ended with reward tensor([0]), enemy health [2.0, 5.0], model health [0, 2.0]
Iteration 1318 ended with reward tensor([0.7000]), enemy health [1.0, 5.0], model health [0, 2.0]
Iteration 1319 ended with reward tensor([-0.5000]), enemy health [1.0, 5.0], model health [0, 2.0]
Iteration 1320 ended with reward tensor([1.]), enemy health [0, 5.0], model health [0, 2.0]
Iteration 1321 ended with reward tensor([-1.]), enemy health [0, 5.0], model health [0, 0.0]
enemy won!
Iteration 1322 ended with reward tensor([0]), enemy health [8, 9], model health [3.0, 9]
Iteration 1323 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [0, 9]
Iteration 1324 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 9]
Iteration 1325 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 9.0]
Iteration 1326 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 9.0]
Iteration 1327 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 6.0]
Iteration 1328 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 6.0]
Iteration 1329 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 6.0]
Iteration 1330 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0, 3.0]
Iteration 1331 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0, 3.0]
Iteration 1332 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0, 3.0]
Iteration 1333 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0, 3.0]
Iteration 1334 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [0, 1.0]
Iteration 1335 ended with reward tensor([0.7000]), enemy health [0.0, 8.0], model health [0, 1.0]
Iteration 1336 ended with reward tensor([0.7000]), enemy health [0.0, 7.0], model health [0, 1.0]
Iteration 1337 ended with reward tensor([-0.5000]), enemy health [0.0, 7.0], model health [0, 1.0]
Iteration 1338 ended with reward tensor([-1.]), enemy health [0.0, 7.0], model health [0, 0.0]
enemy won!
Iteration 1339 ended with reward tensor([0.4000]), enemy health [3.0, 9], model health [5.0, 9]
Iteration 1340 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [2.0, 9]
Iteration 1341 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 9]
Iteration 1342 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 9.0]
Iteration 1343 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 9.0]
Iteration 1344 ended with reward tensor([-0.5000]), enemy health [3.0, 9], model health [0.0, 7.0]
Iteration 1345 ended with reward tensor([0]), enemy health [3.0, 9], model health [0.0, 2.0]
Iteration 1346 ended with reward tensor([-1.]), enemy health [3.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 1347 ended with reward tensor([0.2000]), enemy health [8, 8.0], model health [8, 7.0]
Iteration 1348 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [8, 7.0]
Iteration 1349 ended with reward tensor([-1.]), enemy health [8, 8.0], model health [6.0, 7.0]
Iteration 1350 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [2.0, 7.0]
Iteration 1351 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0.0, 7.0]
Iteration 1352 ended with reward tensor([0]), enemy health [5.0, 8.0], model health [0.0, 2.0]
Iteration 1353 ended with reward tensor([-1.]), enemy health [5.0, 8.0], model health [0.0, 0.0]
enemy won!
Iteration 1354 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1355 ended with reward tensor([0]), enemy health [8, 9], model health [7.0, 9]
Iteration 1356 ended with reward tensor([0.2000]), enemy health [8, 9.0], model health [7.0, 7.0]
Iteration 1357 ended with reward tensor([0.4000]), enemy health [8, 6.0], model health [4.0, 7.0]
Iteration 1358 ended with reward tensor([0.2000]), enemy health [8, 6.0], model health [0, 7.0]
Iteration 1359 ended with reward tensor([0.]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1360 ended with reward tensor([-0.5000]), enemy health [2.0, 6.0], model health [0, 4.0]
Iteration 1361 ended with reward tensor([-1.]), enemy health [2.0, 6.0], model health [0, 0.0]
enemy won!
Iteration 1362 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1363 ended with reward tensor([0]), enemy health [8, 9], model health [6.0, 9]
Iteration 1364 ended with reward tensor([-1.]), enemy health [8, 9], model health [6.0, 7.0]
Iteration 1365 ended with reward tensor([-1.]), enemy health [8, 9], model health [3.0, 7.0]
Iteration 1366 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [0.0, 7.0]
Iteration 1367 ended with reward tensor([0.2000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1368 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1369 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1370 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1371 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1372 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1373 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1374 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 5.0]
Iteration 1375 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 4.0]
Iteration 1376 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 3.0]
Iteration 1377 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 3.0]
Iteration 1378 ended with reward tensor([0.7000]), enemy health [1.0, 9], model health [0.0, 3.0]
Iteration 1379 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 3.0]
Iteration 1380 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 3.0]
Iteration 1381 ended with reward tensor([-0.5000]), enemy health [1.0, 9], model health [0.0, 2.0]
Iteration 1382 ended with reward tensor([1.]), enemy health [0.0, 9], model health [0.0, 2.0]
Iteration 1383 ended with reward tensor([0]), enemy health [0.0, 9], model health [0.0, 1.0]
Iteration 1384 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 1385 ended with reward tensor([0.7000]), enemy health [8, 9], model health [0.0, 9]
Iteration 1386 ended with reward tensor([0.2000]), enemy health [1.0, 9], model health [0.0, 7.0]
Iteration 1387 ended with reward tensor([0.2000]), enemy health [0, 9], model health [0.0, 4.0]
Iteration 1388 ended with reward tensor([0]), enemy health [0, 9], model health [0.0, 4.0]
Iteration 1389 ended with reward tensor([0]), enemy health [0, 9], model health [0.0, 4.0]
Iteration 1390 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 3.0]
Iteration 1391 ended with reward tensor([-0.5000]), enemy health [0, 9], model health [0.0, 1.0]
Iteration 1392 ended with reward tensor([0]), enemy health [0, 9], model health [0.0, 1.0]
Iteration 1393 ended with reward tensor([-1.]), enemy health [0, 9], model health [0.0, 0]
enemy won!
Iteration 1394 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [3.0, 9]
Iteration 1395 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [2.0, 9]
Iteration 1396 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 9]
Iteration 1397 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 9]
Iteration 1398 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 8.0]
Iteration 1399 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 8.0]
Iteration 1400 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 7.0]
Iteration 1401 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 7.0]
Iteration 1402 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 7.0]
Iteration 1403 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 7.0]
Iteration 1404 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [0.0, 4.0]
Iteration 1405 ended with reward tensor([0.7000]), enemy health [4.0, 9], model health [0.0, 4.0]
Iteration 1406 ended with reward tensor([0.7000]), enemy health [3.0, 9], model health [0.0, 4.0]
Iteration 1407 ended with reward tensor([0.7000]), enemy health [2.0, 9], model health [0.0, 4.0]
Iteration 1408 ended with reward tensor([0]), enemy health [2.0, 9], model health [0.0, 2.0]
Iteration 1409 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 1.0]
Iteration 1410 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 1.0]
Iteration 1411 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 1.0]
Iteration 1412 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 1.0]
Iteration 1413 ended with reward tensor([-0.5000]), enemy health [2.0, 9], model health [0.0, 1.0]
Iteration 1414 ended with reward tensor([-1.]), enemy health [2.0, 9], model health [0.0, 0.0]
enemy won!
Iteration 1415 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1416 ended with reward tensor([0.2000]), enemy health [1.0, 9], model health [8, 9]
Iteration 1417 ended with reward tensor([0.4000]), enemy health [0.0, 9], model health [8, 9]
Iteration 1418 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [5.0, 9]
Iteration 1419 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [4.0, 5.0]
Iteration 1420 ended with reward tensor([0]), enemy health [0.0, 9], model health [1.0, 4.0]
Iteration 1421 ended with reward tensor([0]), enemy health [0.0, 9], model health [1.0, 3.0]
Iteration 1422 ended with reward tensor([0]), enemy health [0.0, 9], model health [0.0, 2.0]
Iteration 1423 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [0.0, 0]
enemy won!
Iteration 1424 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1425 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1426 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 1427 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1428 ended with reward tensor([0]), enemy health [8, 9], model health [8, 6.0]
Iteration 1429 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 6.0]
Iteration 1430 ended with reward tensor([0.9000]), enemy health [4.0, 9], model health [8, 3.0]
Iteration 1431 ended with reward tensor([-0.5000]), enemy health [4.0, 9], model health [8.0, 2.0]
Iteration 1432 ended with reward tensor([0]), enemy health [4.0, 9], model health [8.0, 0]
Iteration 1433 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [4.0, 0]
Iteration 1434 ended with reward tensor([-1.]), enemy health [4.0, 9], model health [0, 0]
enemy won!
Iteration 1435 ended with reward tensor([0.2000]), enemy health [4.0, 9], model health [8, 8.0]
Iteration 1436 ended with reward tensor([0.2000]), enemy health [2.0, 9], model health [8, 4.0]
Iteration 1437 ended with reward tensor([0.4000]), enemy health [0.0, 9], model health [8, 4.0]
Iteration 1438 ended with reward tensor([1.2000]), enemy health [0.0, 9], model health [8, 3.0]
Iteration 1439 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [8.0, 3.0]
Iteration 1440 ended with reward tensor([0]), enemy health [0.0, 9], model health [4.0, 3.0]
Iteration 1441 ended with reward tensor([0]), enemy health [0.0, 9], model health [1.0, 0]
Iteration 1442 ended with reward tensor([-0.5000]), enemy health [0.0, 9], model health [1.0, 0]
Iteration 1443 ended with reward tensor([-1.]), enemy health [0.0, 9], model health [0.0, 0]
enemy won!
Iteration 1444 ended with reward tensor([0]), enemy health [8, 9], model health [4.0, 9]
Iteration 1445 ended with reward tensor([0.4000]), enemy health [8, 8.0], model health [4.0, 8.0]
Iteration 1446 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [2.0, 8.0]
Iteration 1447 ended with reward tensor([0.7000]), enemy health [8, 6.0], model health [0, 8.0]
Iteration 1448 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 8.0]
Iteration 1449 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 8.0]
Iteration 1450 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1451 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1452 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1453 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1454 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1455 ended with reward tensor([-0.5000]), enemy health [8, 6.0], model health [0, 5.0]
Iteration 1456 ended with reward tensor([0.7000]), enemy health [8.0, 6.0], model health [0, 5.0]
Iteration 1457 ended with reward tensor([0.7000]), enemy health [7.0, 6.0], model health [0, 5.0]
Iteration 1458 ended with reward tensor([0.7000]), enemy health [7.0, 6.0], model health [0, 5.0]
Iteration 1459 ended with reward tensor([0.7000]), enemy health [4.0, 6.0], model health [0, 5.0]
Iteration 1460 ended with reward tensor([0.7000]), enemy health [2.0, 6.0], model health [0, 5.0]
Iteration 1461 ended with reward tensor([1.]), enemy health [0.0, 6.0], model health [0, 5.0]
Iteration 1462 ended with reward tensor([0.7000]), enemy health [0.0, 5.0], model health [0, 4.0]
Iteration 1463 ended with reward tensor([0.7000]), enemy health [0.0, 3.0], model health [0, 3.0]
Iteration 1464 ended with reward tensor([-0.5000]), enemy health [0.0, 3.0], model health [0, 3.0]
Iteration 1465 ended with reward tensor([-1.]), enemy health [0.0, 3.0], model health [0, 0.0]
enemy won!
Iteration 1466 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1467 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 1468 ended with reward tensor([-1.]), enemy health [8, 9], model health [6.0, 9]
Iteration 1469 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [2.0, 9]
Iteration 1470 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 9]
Iteration 1471 ended with reward tensor([0.7000]), enemy health [8, 8.0], model health [0.0, 9.0]
Iteration 1472 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0.0, 9.0]
Iteration 1473 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0.0, 8.0]
Iteration 1474 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0.0, 5.0]
Iteration 1475 ended with reward tensor([-1.]), enemy health [8, 8.0], model health [0.0, 0.0]
enemy won!
Iteration 1476 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1477 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9]
Iteration 1478 ended with reward tensor([-1.]), enemy health [8, 9], model health [1.0, 9]
Iteration 1479 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 9]
Iteration 1480 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 9]
Iteration 1481 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 9]
Iteration 1482 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [0, 5.0]
Iteration 1483 ended with reward tensor([0]), enemy health [8, 9], model health [0, 3.0]
Iteration 1484 ended with reward tensor([0]), enemy health [8, 9], model health [0, 3.0]
Iteration 1485 ended with reward tensor([0]), enemy health [8, 9], model health [0, 2.0]
Iteration 1486 ended with reward tensor([-1.]), enemy health [8, 9], model health [0, 0.0]
enemy won!
Iteration 1487 ended with reward tensor([0]), enemy health [8, 9], model health [8, 9]
Iteration 1488 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 8.0]
Iteration 1489 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 7.0]
Iteration 1490 ended with reward tensor([0]), enemy health [8, 9], model health [8, 6.0]
Iteration 1491 ended with reward tensor([0]), enemy health [8, 9], model health [8, 6.0]
Iteration 1492 ended with reward tensor([-1.]), enemy health [8, 9], model health [8, 6.0]
Iteration 1493 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [4.0, 6.0]
Iteration 1494 ended with reward tensor([0.7000]), enemy health [7.0, 9], model health [0, 6.0]
Iteration 1495 ended with reward tensor([0.2000]), enemy health [7.0, 6.0], model health [0, 6.0]
Iteration 1496 ended with reward tensor([0.7000]), enemy health [6.0, 6.0], model health [0, 6.0]
Iteration 1497 ended with reward tensor([-0.5000]), enemy health [6.0, 6.0], model health [0.0, 5.0]
Iteration 1498 ended with reward tensor([-0.5000]), enemy health [6.0, 6.0], model health [0.0, 5.0]
Iteration 1499 ended with reward tensor([-0.5000]), enemy health [6.0, 6.0], model health [0.0, 5.0]
Iteration 1500 ended with reward tensor([0]), enemy health [6.0, 6.0], model health [0.0, 2.0]
Iteration 1501 ended with reward tensor([0]), enemy health [6.0, 6.0], model health [0.0, 2.0]
Iteration 1502 ended with reward tensor([-1.]), enemy health [6.0, 6.0], model health [0.0, 0.0]
enemy won!
Iteration 1503 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [8, 9.0]
Iteration 1504 ended with reward tensor([-0.5000]), enemy health [8, 9], model health [3.0, 9.0]
Iteration 1505 ended with reward tensor([0.2000]), enemy health [8, 8.0], model health [0, 9.0]
Iteration 1506 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0, 9.0]
Iteration 1507 ended with reward tensor([-0.5000]), enemy health [8, 8.0], model health [0, 8.0]
Iteration 1508 ended with reward tensor([0.7000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1509 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1510 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1511 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1512 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1513 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1514 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1515 ended with reward tensor([-0.5000]), enemy health [8.0, 8.0], model health [0, 5.0]
Iteration 1516 ended with reward tensor([0.7000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1517 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1518 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1519 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1520 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1521 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1522 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1523 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1524 ended with reward tensor([-0.5000]), enemy health [7.0, 8.0], model health [0, 5.0]
Iteration 1525 ended with reward tensor([0.7000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 1526 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 1527 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 1528 ended with reward tensor([-0.5000]), enemy health [5.0, 8.0], model health [0, 5.0]
Iteration 1529 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1530 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1531 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1532 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1533 ended with reward tensor([0.7000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1534 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1535 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1536 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1537 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1538 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1539 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1540 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1541 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1542 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1543 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1544 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1545 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1546 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1547 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1548 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1549 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1550 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1551 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1552 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1553 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1554 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1555 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
Iteration 1556 ended with reward tensor([-0.5000]), enemy health [3.0, 8.0], model health [0, 5.0]
